DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
10-7-2021-9:28:51,39.19712,86.41492,388.2637,1273.831,63.0029,206.7024,,,,,,,
10-7-2021-9:28:52,39.44866,86.96948,389.3819,1277.5,65.90071,216.2097,,,,,,,
10-7-2021-9:28:53,40.95772,90.29639,390.586,1281.45,67.78918,222.4054,,,,,,,
10-7-2021-9:28:54,39.57441,87.2467,391.7606,1285.304,69.35204,227.5329,,,,,,,
10-7-2021-9:28:55,39.19712,86.41492,392.9507,1289.208,68.40781,224.4351,,,,,,,
10-7-2021-9:28:56,39.57441,87.2467,394.1171,1293.035,68.60316,225.076,,,,,,,
10-7-2021-9:28:57,38.94563,85.86047,395.2846,1296.866,69.64507,228.4943,,,,,,,
10-7-2021-9:28:58,40.45468,89.18738,396.4595,1300.72,69.41715,227.7466,,,,,,,
10-7-2021-9:28:59,40.45468,89.18738,397.6352,1304.577,68.79852,225.7169,,,,,,,
10-7-2021-9:29:00,39.57441,87.2467,398.8176,1308.457,69.54739,228.1739,,,,,,,
10-7-2021-9:29:02,41.46076,91.4054,400.1306,1312.764,68.99388,226.3579,,,,,,,
10-7-2021-9:29:03,40.70623,89.74194,401.3475,1316.757,69.25436,227.2125,,,,,,,
10-7-2021-9:29:04,39.07137,86.1377,402.6776,1321.121,76.71052,251.6749,,,,,,,
10-7-2021-9:29:05,38.69408,85.30591,404.038,1325.584,79.83624,261.9299,,,,,,,
10-7-2021-9:29:06,37.31076,82.25623,405.4088,1330.081,81.46422,267.2711,,,,,,,
10-7-2021-9:29:07,39.70015,87.52393,406.8026,1334.654,81.30142,266.7369,,,,,,,
10-7-2021-9:29:08,40.58048,89.46472,408.2694,1339.467,87.16216,285.9651,,,,,,,
10-7-2021-9:29:09,39.19712,86.41492,409.7862,1344.443,87.618,287.4606,,,,,,,
10-7-2021-9:29:10,36.0532,79.48376,411.3162,1349.463,86.38073,283.4013,,,,,,,
10-7-2021-9:29:11,37.05928,81.70178,412.6416,1353.811,70.03579,229.7762,,,,,,,
