DATE,TMHSI,TMHI,DthMHSI,DthMHI,SpdMHSI,SpdMHI,,,,,,,
1-6-2021-15:41:09,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:10,103.4036,227.9662,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:11,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:13,104.2109,229.7458,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:14,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:15,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:16,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:17,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:18,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:19,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:20,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:21,103.4036,227.9662,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:22,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:23,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:24,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:25,102.8654,226.7797,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:26,102.8654,226.7797,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:27,105.0181,231.5254,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:28,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:29,102.8654,226.7797,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:30,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:31,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:32,103.4036,227.9662,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:33,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:34,104.4799,230.339,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:35,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:36,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:37,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:38,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:39,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:40,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:41,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:42,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:43,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:44,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:45,104.2109,229.7458,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:46,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:47,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:49,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:50,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:51,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:52,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:53,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:54,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:55,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:56,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:57,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:58,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:41:59,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:00,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:01,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:02,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:03,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:04,102.4618,225.8899,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:05,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:06,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:07,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:08,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:09,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:10,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:11,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:12,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:13,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:14,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:15,102.7309,226.483,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:16,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:17,102.7309,226.483,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:18,104.2109,229.7458,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:19,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:20,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:21,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:22,102.4618,225.8899,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:23,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:24,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:25,102.4618,225.8899,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:26,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:27,102.4618,225.8899,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:28,104.4799,230.339,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:29,102.7309,226.483,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:31,102.7309,226.483,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:32,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:33,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:34,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:35,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:36,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:37,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:38,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:39,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:40,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:41,102.7309,226.483,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:42,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:43,104.749,230.9323,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:44,102.0582,225.0,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:45,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:46,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:47,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:48,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:49,103.0,227.0763,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:50,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:51,102.5964,226.1865,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:52,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:53,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:54,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:55,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:56,102.7309,226.483,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:57,104.0763,229.4492,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:58,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:42:59,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:00,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:01,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:02,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:03,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:04,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:05,103.5381,228.2627,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:06,103.1345,227.3729,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:07,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:08,103.6727,228.5593,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:10,103.2691,227.6696,-4.501099,-14.76739,0.0,0.0,,,,,,,
1-6-2021-15:43:11,103.8072,228.856,-4.501099,-14.76739,0.0,0.0,,,,,,,
